# input                                            direction    mode    forward  reverse
U-oneof-u-repeated                               encode       drop          2        1
U-oneof-u-repeated                               decode       drop          1        2
U-oneof-u-repeated                               decode-pull  drop          2        0
U-oneof-u-repeated                               encode       retain        2        1
U-oneof-u-repeated                               decode       retain        1        4
U-oneof-u-repeated                               decode-pull  retain        2        2
U-oneof-u-varint                                 encode       drop          2        1
U-oneof-u-varint                                 decode       drop          1        2
U-oneof-u-varint                                 decode-pull  drop          2        0
U-oneof-u-varint                                 encode       retain        2        1
U-oneof-u-varint                                 decode       retain        1        3
U-oneof-u-varint                                 decode-pull  retain        2        1
U-root-all                                       encode       drop          2        1
U-root-all                                       decode       drop          1        2
U-root-all                                       decode-pull  drop          2        0
U-root-all                                       encode       retain        2        1
U-root-all                                       decode       retain        1       10
U-root-all                                       decode-pull  retain        2        8
U-root-before                                    encode       drop          2        1
U-root-before                                    decode       drop          1        2
U-root-before                                    decode-pull  drop          2        0
U-root-before                                    encode       retain        2        1
U-root-before                                    decode       retain        1       10
U-root-before                                    decode-pull  retain        2        8
U-root-group                                     encode       drop          2        1
U-root-group                                     decode       drop          1        2
U-root-group                                     decode-pull  drop          2        0
U-root-group                                     encode       retain        2        1
U-root-group                                     decode       retain        1        3
U-root-group                                     decode-pull  retain        2        1
U-root-interleaved                               encode       drop          2        1
U-root-interleaved                               decode       drop          1        2
U-root-interleaved                               decode-pull  drop          2        0
U-root-interleaved                               encode       retain        2        1
U-root-interleaved                               decode       retain        1       10
U-root-interleaved                               decode-pull  retain        2        8
U-root-max-tag                                   encode       drop          2        1
U-root-max-tag                                   decode       drop          1        2
U-root-max-tag                                   decode-pull  drop          2        0
U-root-max-tag                                   encode       retain        2        1
U-root-max-tag                                   decode       retain        1        3
U-root-max-tag                                   decode-pull  retain        2        1
U-root-u-fixed32                                 encode       drop          2        1
U-root-u-fixed32                                 decode       drop          1        2
U-root-u-fixed32                                 decode-pull  drop          2        0
U-root-u-fixed32                                 encode       retain        2        1
U-root-u-fixed32                                 decode       retain        1        3
U-root-u-fixed32                                 decode-pull  retain        2        1
U-root-u-fixed64                                 encode       drop          2        1
U-root-u-fixed64                                 decode       drop          1        2
U-root-u-fixed64                                 decode-pull  drop          2        0
U-root-u-fixed64                                 encode       retain        2        1
U-root-u-fixed64                                 decode       retain        1        3
U-root-u-fixed64                                 decode-pull  retain        2        1
U-root-u-len                                     encode       drop          2        1
U-root-u-len                                     decode       drop          1        2
U-root-u-len                                     decode-pull  drop          2        0
U-root-u-len                                     encode       retain        2        1
U-root-u-len                                     decode       retain        1        3
U-root-u-len                                     decode-pull  retain        2        1
U-root-u-msg                                     encode       drop          2        1
U-root-u-msg                                     decode       drop          1        2
U-root-u-msg                                     decode-pull  drop          2        0
U-root-u-msg                                     encode       retain        2        1
U-root-u-msg                                     decode       retain        1        3
U-root-u-msg                                     decode-pull  retain        2        1
U-root-u-packed                                  encode       drop          2        1
U-root-u-packed                                  decode       drop          1        2
U-root-u-packed                                  decode-pull  drop          2        0
U-root-u-packed                                  encode       retain        2        1
U-root-u-packed                                  decode       retain        1        3
U-root-u-packed                                  decode-pull  retain        2        1
U-root-u-repeated                                encode       drop          2        1
U-root-u-repeated                                decode       drop          1        2
U-root-u-repeated                                decode-pull  drop          2        0
U-root-u-repeated                                encode       retain        2        1
U-root-u-repeated                                decode       retain        1        4
U-root-u-repeated                                decode-pull  retain        2        2
U-root-u-varint                                  encode       drop          2        1
U-root-u-varint                                  decode       drop          1        2
U-root-u-varint                                  decode-pull  drop          2        0
U-root-u-varint                                  encode       retain        2        1
U-root-u-varint                                  decode       retain        1        3
U-root-u-varint                                  decode-pull  retain        2        1
U-wire-DualResponse-left-as-wt0                  encode       drop          3        2
U-wire-DualResponse-left-as-wt0                  decode       drop          1        3
U-wire-DualResponse-left-as-wt0                  decode-pull  drop          2        0
U-wire-DualResponse-left-as-wt0                  encode       retain        3        2
U-wire-DualResponse-left-as-wt0                  decode       retain        1        4
U-wire-DualResponse-left-as-wt0                  decode-pull  retain        2        1
U-wire-DualResponse-left-as-wt1                  encode       drop          3        2
U-wire-DualResponse-left-as-wt1                  decode       drop          1        3
U-wire-DualResponse-left-as-wt1                  decode-pull  drop          2        0
U-wire-DualResponse-left-as-wt1                  encode       retain        3        2
U-wire-DualResponse-left-as-wt1                  decode       retain        1        4
U-wire-DualResponse-left-as-wt1                  decode-pull  retain        2        1
U-wire-DualResponse-left-as-wt5                  encode       drop          3        2
U-wire-DualResponse-left-as-wt5                  decode       drop          1        3
U-wire-DualResponse-left-as-wt5                  decode-pull  drop          2        0
U-wire-DualResponse-left-as-wt5                  encode       retain        3        2
