  U-wire-TaskSummary-count-data-dependencies-as-wt1 TaskSummary                positions  5, changed by zeroing  1, entry bytes 0
  U-wire-TaskSummary-count-data-dependencies-as-wt2 TaskSummary                positions  5, changed by zeroing  1, entry bytes 0
  U-wire-TaskSummary-count-data-dependencies-as-wt5 TaskSummary                positions  5, changed by zeroing  1, entry bytes 0
  U-wire-TaskSummary-id-as-wt0       TaskSummary                positions  5, changed by zeroing  1, entry bytes 0
  U-wire-TaskSummary-id-as-wt1       TaskSummary                positions  5, changed by zeroing  1, entry bytes 0
  U-wire-TaskSummary-id-as-wt5       TaskSummary                positions  5, changed by zeroing  1, entry bytes 0
  U-wire-TaskSummary-options-as-wt0  TaskSummary                positions  5, changed by zeroing  1, entry bytes 0
  U-wire-TaskSummary-options-as-wt1  TaskSummary                positions  5, changed by zeroing  1, entry bytes 0
  U-wire-TaskSummary-options-as-wt5  TaskSummary                positions  5, changed by zeroing  1, entry bytes 0
  U-wire-TaskSummary-status-as-wt1   TaskSummary                positions  5, changed by zeroing  1, entry bytes 0
  U-wire-TaskSummary-status-as-wt2   TaskSummary                positions  5, changed by zeroing  1, entry bytes 0
  U-wire-TaskSummary-status-as-wt5   TaskSummary                positions  5, changed by zeroing  1, entry bytes 0
  U-wire-Timestamp-nanos-as-wt1      Timestamp                  positions  1, changed by zeroing  1, entry bytes 0
  U-wire-Timestamp-nanos-as-wt2      Timestamp                  positions  1, changed by zeroing  1, entry bytes 0
  U-wire-Timestamp-nanos-as-wt5      Timestamp                  positions  1, changed by zeroing  1, entry bytes 0
  U-wire-Timestamp-seconds-as-wt1    Timestamp                  positions  1, changed by zeroing  1, entry bytes 0
  U-wire-Timestamp-seconds-as-wt2    Timestamp                  positions  1, changed by zeroing  1, entry bytes 0
  U-wire-Timestamp-seconds-as-wt5    Timestamp                  positions  1, changed by zeroing  1, entry bytes 0
  U-wire-UploadResultData-data-chunk-as-wt0 UploadResultData           positions  1, changed by zeroing  1, entry bytes 0
  U-wire-UploadResultData-data-chunk-as-wt1 UploadResultData           positions  1, changed by zeroing  1, entry bytes 0
  U-wire-UploadResultData-data-chunk-as-wt5 UploadResultData           positions  1, changed by zeroing  1, entry bytes 0
